Bias,Positive_Count,Negative_Count,Label
1,4075,237,1
1,52,19,1
1,882,402,1
1,813,276,1
1,452,234,1
1,4228,133,1
1,749,154,1
1,894,187,1
1,714,24,1
1,3570,3,1
1,5600,813,1
1,186,139,1
1,3585,12,1
1,4082,327,1
1,4943,572,1
1,756,150,1
1,3689,28,1
1,4242,281,1
1,4090,298,1
1,773,57,1
1,3899,147,1
1,925,228,1
1,4201,127,1
1,3656,71,1
1,3872,152,1
1,3745,29,1
1,4691,568,1
1,3754,127,1
1,3703,113,1
1,1061,321,1
1,3795,51,1
1,783,101,1
1,3797,246,1
1,3653,25,1
1,4308,152,1
1,3868,247,1
1,550,341,1
1,1,0,1
1,4263,473,1
1,3703,294,1
1,647,14,1
1,3620,58,1
1,1280,524,1
1,4047,386,1
1,839,134,1
1,1019,37,1
1,693,48,1
1,7303,185,1
1,4415,137,1
1,4150,277,1
1,3837,111,1
1,4943,579,1
1,4134,340,1
1,3617,31,1
1,2453,817,1
1,3575,4,1
1,4451,309,1
1,735,206,1
1,4071,483,1
1,4284,153,1
1,4088,336,1
1,3798,35,1
1,1004,341,1
1,4297,523,1
1,3593,19,1
1,1283,1091,1
1,4040,279,1
1,4191,1045,1
1,3595,2,1
1,940,349,1
1,3754,345,1
1,860,106,1
1,4297,523,1
1,3674,103,1
1,3568,2,1
1,4188,109,1
1,3647,104,1
1,4178,570,1
1,346,232,1
1,702,7,1
1,4188,109,1
1,4069,435,1
1,700,6,1
1,3658,116,1
1,5261,1106,1
1,3905,58,1
1,60,85,1
1,1302,326,1
1,793,21,1
1,4509,413,1
1,3677,148,1
1,1019,37,1
1,4207,249,1
1,246,75,1
1,4303,168,1
1,3592,21,1
1,834,229,1
1,693,0,1
1,3799,256,1
1,4070,393,1
1,1019,37,1
1,3578,11,1
1,3808,109,1
1,4024,514,1
1,3971,156,1
1,3656,43,1
1,3762,89,1
1,4233,367,1
1,4257,159,1
1,695,2,1
1,1005,273,1
1,7274,47,1
1,632,1,1
1,722,127,1
1,4108,492,1
1,3874,353,1
1,25,21,1
1,3590,9,1
1,3669,60,1
1,3771,196,1
1,4133,284,1
1,1231,461,1
1,3729,128,1
1,3857,232,1
1,3780,72,1
1,1313,107,1
1,4007,237,1
1,4122,257,1
1,4074,502,1
1,4034,164,1
1,3643,52,1
1,3587,22,1
1,3775,297,1
1,921,50,1
1,3862,440,1
1,3958,471,1
1,3859,259,1
1,3782,115,1
1,3876,200,1
1,630,2,1
1,744,97,1
1,4267,418,1
1,3758,130,1
1,3808,70,1
1,216,105,1
1,3797,172,1
1,4202,373,1
1,381,262,1
1,3569,2,1
1,3641,115,1
1,3641,7,1
1,3592,13,1
1,381,262,1
1,1336,129,1
1,733,146,1
1,3568,2,1
1,4100,656,1
1,4087,269,1
1,3671,49,1
1,3912,325,1
1,3716,74,1
1,4297,523,1
1,1335,457,1
1,4652,397,1
1,4448,898,1
1,4971,1115,1
1,3970,297,1
1,4045,389,1
1,279,192,1
1,3885,247,1
1,4078,189,1
1,3816,106,1
1,143,107,1
1,4070,412,1
1,4061,115,1
1,3725,218,1
1,3777,295,1
1,655,17,1
1,813,76,1
1,4529,474,1
1,3782,567,1
1,1033,165,1
1,3590,10,1
1,3601,16,1
1,1283,1091,1
1,3827,131,1
1,700,50,1
1,188,158,1
1,3780,110,1
1,4188,109,1
1,4160,320,1
1,4370,306,1
1,3577,8,1
1,61,14,1
1,10733,30,1
1,3736,291,1
1,1218,976,1
1,3627,53,1
1,3570,2,1
1,3885,653,1
1,3841,313,1
1,7763,114,1
1,926,67,1
1,4005,357,1
1,3592,23,1
1,4130,610,1
1,917,567,1
1,3581,5,1
1,3862,269,1
1,4721,1196,1
1,4671,960,1
1,4236,145,1
1,4634,272,1
1,3626,83,1
1,4986,542,1
1,3668,56,1
1,1102,248,1
1,3768,236,1
1,3569,2,1
1,61,14,1
1,4043,396,1
1,810,188,1
1,3982,381,1
1,810,200,1
1,5421,1020,1
1,644,11,1
1,4188,109,1
1,3595,60,1
1,381,262,1
1,3595,21,1
1,3582,25,1
1,3919,364,1
1,3855,251,1
1,1645,443,1
1,4537,868,1
1,7491,653,1
1,3795,169,1
1,3595,2,1
1,3681,225,1
1,4343,651,1
1,4248,171,1
1,1249,107,1
1,4381,625,1
1,3713,85,1
1,653,22,1
1,1218,976,1
1,3595,2,1
1,3889,182,1
1,695,1,1
1,1141,356,1
1,4330,211,1
1,1234,299,1
1,3949,264,1
1,194,95,1
1,4223,114,1
1,4219,111,1
1,3571,8,1
1,4188,109,1
1,4355,379,1
1,3730,67,1
1,3589,9,1
1,4655,521,1
1,1024,81,1
1,3600,40,1
1,981,195,1
1,3629,71,1
1,3691,53,1
1,4002,213,1
1,4285,176,1
1,437,411,1
1,3694,73,1
1,4315,790,1
1,3649,226,1
1,3678,135,1
1,4023,361,1
1,813,67,1
1,3659,113,1
1,715,53,1
1,4004,465,1
1,4383,887,1
1,198,42,1
1,1657,330,1
1,3586,3,1
1,722,7,1
1,4141,176,1
1,3677,23,1
1,3702,153,1
1,920,219,1
1,3987,278,1
1,1362,247,1
1,4270,612,1
1,3597,11,1
1,3685,289,1
1,1065,731,1
1,697,6,1
1,4589,611,1
1,3619,49,1
1,3853,50,1
1,3606,5,1
1,3728,504,1
1,3890,364,1
1,713,345,1
1,864,207,1
1,683,30,1
1,3691,175,1
1,3767,124,1
1,7679,261,1
1,846,91,1
1,707,157,1
1,3623,80,1
1,4577,1035,1
