Word,posfreq,negfreq,"p(w,pos)","p(w,neg)",lambda,log_likelihood
ghost,3,1,9.047522109882156e-05,4.5345304493719674e-05,1.9952500508923119,0.6907693812807153
bae,6,11,0.00015833163692293773,0.00027207182696231805,0.5819479315102576,-0.5413743000119171
:d,629,0,0.014249847323064396,2.2672652246859837e-05,628.5037660310783,6.443342020106348
love,400,152,0.00907014091515686,0.0034689157937695552,2.6146904261693367,0.9611457066349037
tagsforlikesapp,2,0,6.785641582411617e-05,2.2672652246859837e-05,2.9928750763384677,1.0962344893888796
instagood,2,0,6.785641582411617e-05,2.2672652246859837e-05,2.9928750763384677,1.0962344893888796
smile,62,10,0.0014249847323064397,0.0002493991747154582,5.71367060028253,1.7428616543139321
follow,381,262,0.008640383614937458,0.005962907540924137,1.4490219000776865,0.3708887771495806
cute,26,43,0.0006107077424170455,0.0009975966988618329,0.6121789928874138,-0.4907305671931621
photooftheday,4,2,0.00011309402637352695,6.801795674057951e-05,1.6627083757435932,0.5084478244867606
tbt,1,1,4.523761054941078e-05,4.5345304493719674e-05,0.9976250254461559,-0.002377799279229984
…,38,16,0.0008821334057135102,0.0003854350881966172,2.2886691760235345,0.8279705027942005
fnaf,5,1,0.00013571283164823234,4.5345304493719674e-05,2.9928750763384677,1.0962344893888796
4,24,18,0.0005654701318676348,0.0004307803926903369,1.3126645071659946,0.27205904642253026
drop,9,10,0.0002261880527470539,0.0002493991747154582,0.9069318413146872,-0.0976879790835549
...,289,331,0.006559453529664563,0.007527320545957466,0.8714194499379072,-0.13763184521519892
look,137,100,0.003121395127909344,0.0022899378769328438,1.3630916189264308,0.3097553690367152
like,233,228,0.005292800434281061,0.005192037364530903,1.0194072312419236,0.019221312524231815
sleep,45,90,0.001040465042636448,0.0020632113544642454,0.504293968906848,-0.6845959093069852
yeahhh,1,2,4.523761054941078e-05,6.801795674057951e-05,0.6650833502974373,-0.4078429073873944
:),3568,2,0.08072651602542354,6.801795674057951e-05,1186.8412386057769,7.079050635542821
never,36,57,0.0008368957951640994,0.0013150138303178705,0.6364159645087547,-0.4519028971814248
listen,16,18,0.00038451968966999163,0.0004307803926903369,0.8926118648728764,-0.11360343438945437
hill,4,1,0.00011309402637352695,4.5345304493719674e-05,2.49406256361539,0.9139129325949251
everi,26,16,0.0006107077424170455,0.0003854350881966172,1.5844632757086008,0.46024572266888314
:-),692,0,0.015674832055370836,2.2672652246859837e-05,691.3541426341861,6.538652199910674
work,110,133,0.0025106873854922984,0.0030381354010792184,0.8263908792874873,-0.19068739791780728
tokyo,2,1,6.785641582411617e-05,4.5345304493719674e-05,1.4964375381692339,0.40308730882893434
kunoriforceo,8,0,0.0002035692474723485,2.2672652246859837e-05,8.978625229015403,2.1948467780569896
ceo,11,0,0.0002714256632964647,2.2672652246859837e-05,11.97150030535387,2.4825288505087704
1month,11,0,0.0002714256632964647,2.2672652246859837e-05,11.97150030535387,2.4825288505087704
tell,25,26,0.0005880889371423401,0.0006121616106652156,0.9606759504296316,-0.04011812726207706
crowd,2,1,6.785641582411617e-05,4.5345304493719674e-05,1.4964375381692339,0.40308730882893434
they'r,12,14,0.00029404446857117007,0.00034008978370289757,0.8646083553866685,-0.14547864291990334
loudest,2,0,6.785641582411617e-05,2.2672652246859837e-05,2.9928750763384677,1.0962344893888796
fan,30,17,0.0007011829635158671,0.0004081077404434771,1.7181319882683797,0.5412376473097515
world,27,17,0.0006333265476917509,0.0004081077404434771,1.5518611506940203,0.4394549529998092
x,72,39,0.0016511727850534936,0.0009069060898743935,1.8206656714392346,0.5992021877552248
ok,38,33,0.0008821334057135102,0.0007708701763932344,1.1443345880117672,0.13482332223425517
pleas,97,275,0.0022166429169211284,0.006257652020133315,0.354229175701896,-1.037811186325808
much,89,139,0.0020356924747234853,0.0031741713145603772,0.6413303735011003,-0.4442105515582691
would,84,70,0.0019225984483499583,0.0016097583095270485,1.1943398191961023,0.17759358016977117
mean,25,43,0.0005880889371423401,0.0009975966988618329,0.5895056968545467,-0.5284708951760091
hey,76,26,0.0017416480061523151,0.0006121616106652156,2.845078776272371,1.0455907565701248
worri,18,8,0.0004297573002194024,0.00020405387022173855,2.1060972759418846,0.744836602550991
share,46,11,0.0010630838479111534,0.00027207182696231805,3.9073646829974447,1.3628631526428285
wallet,3,4,9.047522109882156e-05,0.00011336326123429919,0.7981000203569247,-0.22552135059343978
detail,10,4,0.0002488068580217593,0.00011336326123429919,2.1947750559815433,0.7860795610850403
via,69,1,0.0015833163692293773,4.5345304493719674e-05,34.91687589061546,3.5529702622101835
dm,39,23,0.0009047522109882156,0.0005441436539246361,1.6627083757435932,0.5084478244867606
get,206,232,0.004682092691864015,0.005282727973518342,0.88630206123328,-0.12069745957956163
sort,9,7,0.0002261880527470539,0.0001813812179748787,1.247031281807695,0.2207657520349798
hi,173,34,0.003935672117798738,0.0007935428286400943,4.959621555075175,1.6013294384458854
here',25,0,0.0005880889371423401,2.2672652246859837e-05,25.938250661600055,3.255718738742252
vid,11,0,0.0002714256632964647,2.2672652246859837e-05,11.97150030535387,2.4825288505087704
stydia,1,0,4.523761054941078e-05,2.2672652246859837e-05,1.9952500508923119,0.6907693812807153
take,43,49,0.0009952274320870372,0.001133632612342992,0.8779100223926172,-0.13021117078911496
..,128,108,0.002917825880436995,0.0024713190949077223,1.1806754888307716,0.16608672285329829
ye,77,48,0.0017642668114270204,0.001110959960096132,1.5880561629551053,0.4625107292997351
sometim,13,16,0.00031666327384587546,0.0003854350881966172,0.8215735503674226,-0.19653381372018733
pass,12,13,0.00029404446857117007,0.00031741713145603775,0.9263660950571447,-0.07648577143295195
thank,620,107,0.014046278075592047,0.0024486464426608625,5.736343896315397,1.7468220555300291
wish,37,91,0.0008595146004388048,0.002085884006711105,0.4120625105103688,-0.8865802166018845
دعمم,1,0,4.523761054941078e-05,2.2672652246859837e-05,1.9952500508923119,0.6907693812807153
للعودة,1,0,4.523761054941078e-05,2.2672652246859837e-05,1.9952500508923119,0.6907693812807153
للحياة,1,0,4.523761054941078e-05,2.2672652246859837e-05,1.9952500508923119,0.6907693812807153
heiyo,2,0,6.785641582411617e-05,2.2672652246859837e-05,2.9928750763384677,1.0962344893888796
visit,30,12,0.0007011829635158671,0.00029474447920917787,2.378951983756218,0.8666600477443795
websit,8,7,0.0002035692474723485,0.0001813812179748787,1.1223281536269254,0.11540523637715343
free,37,19,0.0008595146004388048,0.00045345304493719674,1.8954875483476963,0.6394760868931648
50.000,3,0,9.047522109882156e-05,2.2672652246859837e-05,3.9905001017846238,1.3839165618406606
coin,5,0,0.00013571283164823234,2.2672652246859837e-05,5.985750152676935,1.789381669948825
8,10,11,0.0002488068580217593,0.00027207182696231805,0.9144896066589763,-0.08938917626885975
ball,7,2,0.00018095044219764312,6.801795674057951e-05,2.660333401189749,0.9784514537324962
pool,5,3,0.00013571283164823234,9.069060898743935e-05,1.4964375381692339,0.40308730882893434
done,54,24,0.0012440342901087966,0.000566816306171496,2.1947750559815433,0.7860795610850403
10,16,8,0.00038451968966999163,0.00020405387022173855,1.884402825842739,0.6336109674407667
part,15,11,0.00036190088439528624,0.00027207182696231805,1.3301667005948745,0.2853042731725509
annoy,2,11,6.785641582411617e-05,0.00027207182696231805,0.24940625636153899,-1.3886721603991206
twitter,29,30,0.0006785641582411617,0.000702852219652655,0.9654435730124089,-0.03516762210222093
group,10,4,0.0002488068580217593,0.00011336326123429919,2.1947750559815433,0.7860795610850403
side,15,6,0.00036190088439528624,0.00015870856572801887,2.280285772448356,0.8243007739052378
know,145,131,0.003302345570106987,0.0029927900965854987,1.103433740266203,0.0984268998427357
home-bas,1,0,4.523761054941078e-05,2.2672652246859837e-05,1.9952500508923119,0.6907693812807153
offic,8,7,0.0002035692474723485,0.0001813812179748787,1.1223281536269254,0.11540523637715343
busi,19,28,0.0004523761054941078,0.0006575069151589353,0.6880172589283834,-0.37394135571171305
feel,46,158,0.0010630838479111534,0.003604951707250714,0.29489544777339205,-1.2211343997894029
piti,3,1,9.047522109882156e-05,4.5345304493719674e-05,1.9952500508923119,0.6907693812807153
knee,4,2,0.00011309402637352695,6.801795674057951e-05,1.6627083757435932,0.5084478244867606
happen,16,51,0.00038451968966999163,0.0011789779168367115,0.3261466429343202,-1.1204081738044411
مطعم_هاشم,1,0,4.523761054941078e-05,2.2672652246859837e-05,1.9952500508923119,0.6907693812807153
yummi,3,2,9.047522109882156e-05,6.801795674057951e-05,1.3301667005948745,0.2853042731725509
